,file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
6094,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\conversion\jodatime\JodaConversionTest.java,org.mapstruct.ap.test.conversion.jodatime.JodaConversionTest,testTargetToSourceMappingForStrings/0,9.0,0.0,0.0,3.0,216.0,0,10,1,12,0,2,0,0,0,0
6095,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\conversion\jodatime\JodaConversionTest.java,org.mapstruct.ap.test.conversion.jodatime.JodaConversionTest,testTargetToSourceNullMapping/0,4.0,0.0,0.0,1.0,204.0,0,6,1,9,0,2,0,0,0,0
6096,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,canInverse/0,0.0,4.0,1.0,0.0,438.0,1,0,4,3,1,0,0,0,0,0
6097,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,equals/1[java.lang.Object],2.0,1.0,0.33333334,1.0,496.0,1,0,5,13,4,1,1,0,0,0
6098,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,forIgnore/1[java.lang.String],0.0,0.0,-1.0,0.0,165.0,1,1,1,3,1,0,1,0,0,0
6099,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getConstant/0,0.0,1.0,1.0,0.0,354.0,1,0,1,3,1,0,0,0,0,0
6100,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getDefaultJavaExpression/0,0.0,1.0,1.0,0.0,362.0,1,0,1,3,1,0,0,0,0,0
6101,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getDefaultValue/0,0.0,1.0,1.0,0.0,366.0,1,0,1,3,1,0,0,0,0,0
6102,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getDependsOn/0,0.0,1.0,1.0,0.0,397.0,2,0,1,3,1,0,0,0,0,0
6103,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getDependsOnAnnotationValue/0,2.0,1.0,0.33333334,1.0,390.0,1,0,1,3,1,0,0,0,0,0
6104,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getElement/0,0.0,1.0,1.0,0.0,386.0,2,0,1,3,1,0,0,0,0,0
6105,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getFormattingParameters/0,0.0,1.0,1.0,0.0,370.0,1,0,1,3,1,0,0,0,0,0
6106,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getInheritContext/0,0.0,1.0,1.0,0.0,401.0,4,0,1,3,1,0,0,0,0,0
6107,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getJavaExpression/0,0.0,1.0,1.0,0.0,358.0,1,0,1,3,1,0,0,0,0,0
