file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,GodClass
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\executor\statement\BaseStatementHandlerTest.java,org.apache.ibatis.executor.statement.BaseStatementHandlerTest,class,1,0,13,1.0,0.15151516,66,0,11,0,3,11,11,0,-1.0,41,31,0.43055555,-1.0,3,39,1.0,0.0,13.0,1.0,0.15151516,66.0,0.0,11.0,0.0,3.0,11.0,11.0,0.0,-1.0,41.0,31.0,0.43055555,-1.0,3.0,39.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\scripting\xmltags\OgnlCacheTest.java,org.apache.ibatis.scripting.xmltags.OgnlCacheTest,class,1,0,2,,0.0,23,0,11,1,0,1,2,0,-1.0,3,0,0.0,-1.0,3,32,1.0,0.0,2.0,,0.0,23.0,0.0,11.0,1.0,0.0,1.0,2.0,0.0,-1.0,3.0,0.0,0.0,-1.0,3.0,32.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\missing_id_property\MissingIdPropertyTest.java,org.apache.ibatis.submitted.missing_id_property.MissingIdPropertyTest,class,1,0,6,1.0,0.0,18,0,14,0,1,2,2,0,-1.0,10,1,0.09090909,-1.0,7,29,1.0,0.0,6.0,1.0,0.0,18.0,0.0,14.0,0.0,1.0,2.0,2.0,0.0,-1.0,10.0,1.0,0.09090909,-1.0,7.0,29.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\builder\xml\XMLMapperEntityResolver.java,org.apache.ibatis.builder.xml.XMLMapperEntityResolver,class,1,4,5,,0.5,39,0,7,0,6,2,10,0,-1.0,4,8,0.6666667,-1.0,3,33,1.0,4.0,5.0,,0.5,39.0,0.0,7.0,0.0,6.0,2.0,10.0,0.0,-1.0,4.0,8.0,0.6666667,-1.0,3.0,33.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\empty_row\Mapper.java,org.apache.ibatis.submitted.empty_row.Mapper,interface,1,1,3,0.0,0.0,10,0,0,0,0,8,8,0,-1.0,0,0,-1.0,-1.0,0,23,1.0,1.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,23.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\extends_with_constructor\NpeExtendsTest.java,org.apache.ibatis.submitted.extends_with_constructor.NpeExtendsTest,class,1,1,13,0.0,0.0,53,0,22,0,0,6,6,0,-1.0,31,3,0.0882353,-1.0,12,39,1.0,1.0,13.0,0.0,0.0,53.0,0.0,22.0,0.0,0.0,6.0,6.0,0.0,-1.0,31.0,3.0,0.0882353,-1.0,12.0,39.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\optional_on_mapper_method\OptionalOnMapperMethodTest.java,org.apache.ibatis.submitted.optional_on_mapper_method.OptionalOnMapperMethodTest,class,1,0,6,1.0,0.0,50,0,24,0,1,6,6,0,-1.0,26,1,0.037037037,-1.0,10,39,1.0,0.0,6.0,1.0,0.0,50.0,0.0,24.0,0.0,1.0,6.0,6.0,0.0,-1.0,26.0,1.0,0.037037037,-1.0,10.0,39.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\maptypehandler\User.java,org.apache.ibatis.submitted.maptypehandler.User,class,1,2,0,0.33333334,0.5,16,0,0,0,2,4,4,0,-1.0,0,4,1.0,-1.0,0,18,1.0,2.0,0.0,0.33333334,0.5,16.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,18.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\cacheorder\CacheOrderTest.java,org.apache.ibatis.submitted.cacheorder.CacheOrderTest,class,1,0,6,1.0,0.0,14,0,10,0,1,2,2,0,-1.0,8,1,0.11111111,-1.0,6,31,1.0,0.0,6.0,1.0,0.0,14.0,0.0,10.0,0.0,1.0,2.0,2.0,0.0,-1.0,8.0,1.0,0.11111111,-1.0,6.0,31.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\scripting\xmltags\XMLLanguageDriver.java,org.apache.ibatis.scripting.xmltags.XMLLanguageDriver,class,1,3,16,0.0,0.0,25,1,7,0,0,3,5,0,-1.0,2,0,0.0,-1.0,1,34,1.0,3.0,16.0,0.0,0.0,25.0,1.0,7.0,0.0,0.0,3.0,5.0,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,34.0,0.0
