file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet,getHead/0,5,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,180,5,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,180
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet,peekLast/0,3,0,2,6,2,0,0,0,0,0,1.0,1.0,0.5,1.0,130,3,0,2,6,2,0,0,0,0,0,1.0,1.0,0.5,1.0,130
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\cfg\Configuration.java,org.wltea.analyzer.cfg.Configuration,getConfigInPluginDir/0,1,0,1,3,1,0,0,0,0,0,6.0,0.0,0.0,6.0,44,1,0,1,3,1,0,0,0,0,0,6.0,0.0,0.0,6.0,44
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\cfg\Configuration.java,org.wltea.analyzer.cfg.Configuration,isUseSmart/0,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,51,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,51
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\cfg\Configuration.java,org.wltea.analyzer.cfg.Configuration,getEnvironment/0,1,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,60,1,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,60
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\cfg\Configuration.java,org.wltea.analyzer.cfg.Configuration,"Configuration/2[org.wltea.analyzer.cfg.Environment,org.wltea.analyzer.cfg.Settings]",2,1,1,8,0,0,2,0,0,0,3.0,5.0,0.625,1.0,32,2,1,1,8,0,0,2,0,0,0,3.0,5.0,0.625,1.0,32
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\cfg\Configuration.java,org.wltea.analyzer.cfg.Configuration,isEnableRemoteDict/0,1,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,68,1,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,68
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\cfg\Configuration.java,org.wltea.analyzer.cfg.Configuration,isEnableLowercase/0,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,72,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,72
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\cfg\Configuration.java,org.wltea.analyzer.cfg.Configuration,setUseSmart/1[boolean],2,0,1,4,1,0,1,0,0,0,0.0,1.0,1.0,0.0,55,2,0,1,4,1,0,1,0,0,0,0.0,1.0,1.0,0.0,55
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\cfg\Configuration.java,org.wltea.analyzer.cfg.Configuration,getSettings/0,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,64,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,64
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkTokenizerFactory.java,org.elasticsearch.index.analysis.IkTokenizerFactory,"getIkTokenizerFactory/4[org.elasticsearch.index.analysis.IndexSettings,org.elasticsearch.index.analysis.Environment,java.lang.String,org.elasticsearch.index.analysis.Settings]",0,2,1,3,1,0,4,0,0,0,0.0,1.0,1.0,0.0,18,0,2,1,3,1,0,4,0,0,0,0.0,1.0,1.0,0.0,18
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkTokenizerFactory.java,org.elasticsearch.index.analysis.IkTokenizerFactory,"getIkSmartTokenizerFactory/4[org.elasticsearch.index.analysis.IndexSettings,org.elasticsearch.index.analysis.Environment,java.lang.String,org.elasticsearch.index.analysis.Settings]",0,2,1,3,1,0,4,0,0,0,0.0,1.0,1.0,0.0,22,0,2,1,3,1,0,4,0,0,0,0.0,1.0,1.0,0.0,22
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkTokenizerFactory.java,org.elasticsearch.index.analysis.IkTokenizerFactory,"IkTokenizerFactory/4[org.elasticsearch.index.analysis.IndexSettings,org.elasticsearch.index.analysis.Environment,java.lang.String,org.elasticsearch.index.analysis.Settings]",2,1,1,4,0,0,4,0,0,0,0.0,1.0,1.0,0.0,13,2,1,1,4,0,0,4,0,0,0,0.0,1.0,1.0,0.0,13
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkTokenizerFactory.java,org.elasticsearch.index.analysis.IkTokenizerFactory,create/0,0,1,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,32,0,1,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,32
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkTokenizerFactory.java,org.elasticsearch.index.analysis.IkTokenizerFactory,setSmart/1[boolean],2,1,1,4,1,0,1,0,0,0,1.0,0.0,0.0,1.0,26,2,1,1,4,1,0,1,0,0,0,1.0,0.0,0.0,1.0,26
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet.Cell,getLexeme/0,6,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,235,6,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,235
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet.Cell,compareTo/1[org.wltea.analyzer.core.QuickSortSet.Cell],1,1,1,3,1,0,1,0,0,0,0.0,0.0,-1.0,0.0,223,1,1,1,3,1,0,1,0,0,0,0.0,0.0,-1.0,0.0,223
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet.Cell,Cell/1[org.wltea.analyzer.core.Lexeme],1,0,2,6,0,0,1,0,0,0,0.0,1.0,1.0,0.0,216,1,0,2,6,0,0,1,0,0,0,0.0,1.0,1.0,0.0,216
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet.Cell,getNext/0,5,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,231,5,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,231
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet.Cell,getPrev/0,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,227,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,227
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\CN_QuantifierSegmenter.java,org.wltea.analyzer.core.CN_QuantifierSegmenter,CN_QuantifierSegmenter/0,1,0,1,5,0,0,0,0,0,0,0.0,3.0,1.0,0.0,70,1,0,1,5,0,0,0,0,0,0,0.0,3.0,1.0,0.0,70
