file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\ExceptionCatchingTypedInput.java,retrofit.ExceptionCatchingTypedInput.ExceptionCatchingInputStream,0.0,0.0,0.0,8.0,1.0,-1.0,0.0,36,innerclass,2,0,1,1.0,0.15,76,0,9,0,2,10,17
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.36Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,649,innerclass,1,0,3,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.9Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,195,innerclass,1,0,2,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.66Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1157,innerclass,1,0,4,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.ResponseCallback,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1254,interface,1,0,2,-1.0,0.0,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RestMethodInfo.java,retrofit.RestMethodInfo.ParamUsage,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,62,enum,1,0,0,-1.0,0.0,1,0,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.55Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,964,innerclass,1,0,3,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RxSupport.java,retrofit.RxSupport,0.0,-1.0,3.0,2.0,0.4,-1.0,2.0,15,class,1,3,5,0.0,0.6666667,42,0,1,0,2,3,3
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.53Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,928,innerclass,1,0,3,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\client\OkClient.java,retrofit.client.OkClient,1.0,0.5,7.0,1.0,0.125,0.0,4.0,25,class,2,2,4,0.33333334,0.25,18,0,5,0,1,4,4
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.51Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,898,innerclass,1,0,5,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\Platform.java,retrofit.Platform.AppEngine,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,158,innerclass,3,0,4,,0.0,11,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\ErrorHandlerTest.java,retrofit.ErrorHandlerTest.MockInvalidResponseClient,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,40,innerclass,1,0,3,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RestAdapter.java,retrofit.RestAdapter.RestHandler.2,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,277,anonymous,1,0,2,,0.0,5,0,1,0,0,1,1
