file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\MarkupTextTest.java,hudson.MarkupTextTest,escape/0,0,0,1,7,0,1,0,0,0,0,0,0,-1,0,97,0,0,1,7,0,1,0,0,0,0,0,0,-1,0,97
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\hudson\util\XStream2AnnotationTest.java,hudson.util.XStream2AnnotationTest.AnnotatedUnprocessed,get/0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,92,0,0,1,3,1,0,0,0,0,0,0,1,1,0,92
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\hudson\util\XStream2AnnotationTest.java,hudson.util.XStream2AnnotationTest.AnnotatedUnprocessed,AnnotatedUnprocessed/0,0,0,1,3,0,0,0,0,0,0,0,0,-1,0,96,0,0,1,3,0,0,0,0,0,0,0,0,-1,0,96
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\hudson\util\XStream2AnnotationTest.java,hudson.util.XStream2AnnotationTest.AnnotatedUnprocessed,xml/0,0,0,1,3,1,0,0,0,0,0,2,0,0,1,99,0,0,1,3,1,0,0,0,0,0,2,0,0,1,99
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\hudson\util\XStream2AnnotationTest.java,hudson.util.XStream2AnnotationTest.AnnotatedUnprocessed,writeXml/1[java.lang.String],0,0,1,3,0,0,1,0,0,0,5,0,0,3,102,0,0,1,3,0,0,1,0,0,0,5,0,0,3,102
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\ByteArrayOutputStream2.java,hudson.util.ByteArrayOutputStream2,ByteArrayOutputStream2/0,0,0,1,2,0,0,0,0,0,0,0,0,-1,0,12,0,0,1,2,0,0,0,0,0,0,0,0,-1,0,12
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\ByteArrayOutputStream2.java,hudson.util.ByteArrayOutputStream2,getBuffer/0,0,0,1,3,1,0,0,0,0,0,1,0,0,1,19,0,0,1,3,1,0,0,0,0,0,1,0,0,1,19
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\ByteArrayOutputStream2.java,hudson.util.ByteArrayOutputStream2,ByteArrayOutputStream2/1[int],0,0,1,3,0,0,1,0,0,0,0,0,-1,0,15,0,0,1,3,0,0,1,0,0,0,0,0,-1,0,15
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\ByteArrayOutputStream2.java,hudson.util.ByteArrayOutputStream2,readFrom/1[java.io.InputStream],0,0,4,12,1,2,1,1,0,0,11,0,0,2,26,0,0,4,12,1,2,1,1,0,0,11,0,0,2,26
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\node_monitors\AbstractNodeMonitorDescriptor.java,hudson.node_monitors.AbstractNodeMonitorDescriptor.Record,Record/0,0,1,1,3,0,0,0,0,0,0,1,0,0,1,297,0,1,1,3,0,0,0,0,0,0,1,0,0,1,297
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\node_monitors\AbstractNodeMonitorDescriptor.java,hudson.node_monitors.AbstractNodeMonitorDescriptor.Record,run/0,0,2,4,21,0,2,0,0,0,0,9,2,0.18181819,4,302,0,2,4,21,0,2,0,0,0,0,9,2,0.18181819,4,302
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\model\GlobalQuietPeriodConfiguration.java,jenkins.model.GlobalQuietPeriodConfiguration,"configure/2[jenkins.model.StaplerRequest,jenkins.model.JSONObject]",0,2,3,15,1,1,2,0,0,0,3,0,0,2,47,0,2,3,15,1,1,2,0,0,0,3,0,0,2,47
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\model\GlobalQuietPeriodConfiguration.java,jenkins.model.GlobalQuietPeriodConfiguration,getRequiredGlobalConfigPagePermission/0,0,0,1,3,1,0,0,0,0,0,1,0,0,1,65,0,0,1,3,1,0,0,0,0,0,1,0,0,1,65
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\model\GlobalQuietPeriodConfiguration.java,jenkins.model.GlobalQuietPeriodConfiguration,getQuietPeriod/0,0,2,1,3,1,0,0,0,0,0,2,0,0,1,42,0,2,1,3,1,0,0,0,0,0,2,0,0,1,42
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\PluginServletFilter.java,hudson.util.PluginServletFilter,destroy/0,0,0,2,6,0,0,0,1,0,0,0,1,1,0,160,0,0,2,6,0,0,0,1,0,0,0,1,1,0,160
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\PluginServletFilter.java,hudson.util.PluginServletFilter,getInstance/1[hudson.util.ServletContext],4,0,1,3,1,0,1,0,0,0,1,1,0.5,1,82,4,0,1,3,1,0,1,0,0,0,1,1,0.5,1,82
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\PluginServletFilter.java,hudson.util.PluginServletFilter,init/1[hudson.util.FilterConfig],0,0,2,11,0,0,1,1,0,0,3,5,0.71428573,2,86,0,0,2,11,0,0,1,1,0,0,3,5,0.71428573,2,86
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\PluginServletFilter.java,hudson.util.PluginServletFilter,hasFilter/1[hudson.util.Filter],3,1,4,13,2,2,1,0,0,0,2,1,0.33333334,1,122,3,1,4,13,2,2,1,0,0,0,2,1,0.33333334,1,122
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\PluginServletFilter.java,hudson.util.PluginServletFilter,"doFilter/3[hudson.util.ServletRequest,hudson.util.ServletResponse,hudson.util.FilterChain]",0,1,1,14,0,0,3,0,1,0,0,0,-1,0,144,0,1,1,14,0,0,3,0,1,0,0,0,-1,0,144
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\PluginServletFilter.java,hudson.util.PluginServletFilter,removeFilter/1[hudson.util.Filter],2,1,3,9,0,1,1,0,0,0,2,1,0.33333334,1,135,2,1,3,9,0,1,1,0,0,0,2,1,0.33333334,1,135
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\PluginServletFilter.java,hudson.util.PluginServletFilter,cleanUp/0,0,1,8,27,1,2,0,1,0,0,6,3,0.33333334,3,168,0,1,8,27,1,2,0,1,0,0,6,3,0.33333334,3,168
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\PluginServletFilter.java,hudson.util.PluginServletFilter,addFilter/1[hudson.util.Filter],2,1,4,15,0,2,1,0,0,0,3,2,0.4,2,98,2,1,4,15,0,2,1,0,0,0,3,2,0.4,2,98
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\FilePath.java,hudson.FilePath.UnzipFrom,"invoke/2[java.io.File,hudson.VirtualChannel]",0,1,1,4,1,0,2,0,0,0,0,1,1,0,671,0,1,1,4,1,0,2,0,0,0,0,1,1,0,671
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\FilePath.java,hudson.FilePath.UnzipFrom,UnzipFrom/1[java.io.InputStream],1,0,1,3,0,0,1,0,0,0,0,1,1,0,667,1,0,1,3,0,0,1,0,0,0,0,1,1,0,667
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\node_monitors\ClockMonitor.java,hudson.node_monitors.ClockMonitor.DescriptorImpl,getDisplayName/0,0,0,1,3,1,0,0,0,0,0,0,0,-1,0,74,0,0,1,3,1,0,0,0,0,0,0,0,-1,0,74
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\node_monitors\ClockMonitor.java,hudson.node_monitors.ClockMonitor.DescriptorImpl,"newInstance/2[hudson.node_monitors.StaplerRequest,hudson.node_monitors.JSONObject]",0,1,1,3,1,0,2,0,0,0,0,0,-1,0,79,0,1,1,3,1,0,2,0,0,0,0,0,-1,0,79
